Codification_instrument;Commune;Edifice;Edifice_standard;Info_edifice;Codification_edifice;Nom_departement;Code_depertament;Nom_region;Code_insee;Commune_insee;Ancienne_commune;Adresse;Denomination;Livre;Pages_pdf;Pages_livre;Pages_livre_complement;Commentaire;Log;Site_ref;Latitude;Longitude;Orgbase_manu;Orgbase_commune;Orgbase_auto;Orgbase_desc;Orgbase_edifice;Orgbase_facteurs;Orgbase_minicompo;Orgbase_edifice_standard;Orgbase_edifice_log;Orgbase_commune_insee;Reference_palissy;denomination_palissy;Edifce_palissy;protection_palissy
;Aniche;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59008;Aniche;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2018672&LGE=FR&LIJST=lang;;;d;;Coupleux Frères (1935);IIIP/27;;;;;;;
;Annappes;Église Saint-Sébastien;;;;Nord;Saint-Sébastien [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2052580&LGE=FR&LIJST=lang;;;d;;Gonzalez, Victor (1949); ;;;;;;;
;Anzin;Église Sainte-Barbe;;;;Nord;Sainte-Barbe [eglise];EDIFICE_STANDARD;59014;Anzin;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2052579&LGE=FR&LIJST=lang;;;;;; ;;;;;;;
;Arleux;Église Saint-Nicolas;;;;Nord;Saint-Nicolas [eglise];EDIFICE_STANDARD;59015;Arleux;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027775&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (1745);IIP/24;;;;;;;
;Armentières;Église Saint-Joseph du Bizet;;;;Nord;Saint-Joseph du Bizet [eglise];EDIFICE_STANDARD;59017;Armentieres;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027776&LGE=FR&LIJST=lang;;;d;;Cogez, Bernard (1981);IIP/22;;;;;;;
;Arnèke;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59018;Arneke;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027777&LGE=FR&LIJST=lang;;;dp;;Neuville & fils, Louis (1899);IIP/19 (17);;;;;;;
;Aubers;Église Saint-Vaast;;;;Nord;Saint-Vaast [eglise];EDIFICE_STANDARD;59025;Aubers;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2040794&LGE=FR&LIJST=lang;;;p;;; ;;;;;;;
;Avesnes-sur-Helpe;Église Collégial Saint Nicolas;;;;Nord;Collégial Saint Nicolas [eglise];EDIFICE_NON_STANDARD;59036;Avesnes-sur-Helpe;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027778&LGE=FR&LIJST=lang;;;d;;Gonzalez, Victor (1964);IIP/36;;;;;;;
;Bailleul;Église Saint-Amand;;;;Nord;Saint-Amand [eglise];EDIFICE_STANDARD;59043;Bailleul;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027841&LGE=FR&LIJST=lang;;;d;;Van den Brande, Félix (1932);IIP/21;;;;;;;
;Bailleul;Église Saint-Vaast;;;;Nord;Saint-Vaast [eglise];EDIFICE_STANDARD;59043;Bailleul;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027842&LGE=FR&LIJST=lang;;;dp;;Gonzalez, Victor (1933);IIIP/39;;;;;;;
;Bambecque;Église Saint-Omer;;;;Nord;Saint-Omer [eglise];EDIFICE_STANDARD;59046;Bambecque;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027843&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (ca. 1700);IIp/16;;;;;;;
;Bavinchove;Église Saint-Omer;;;;Nord;Saint-Omer [eglise];EDIFICE_STANDARD;59054;Bavinchove;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027844&LGE=FR&LIJST=lang;;;d;;Vanderhaeghen, Jean-Joseph (1784);IIP/12;;;;;;;
;Bergues;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59067;Bergues;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027845&LGE=FR&LIJST=lang;;;d;;Müller, Erwin (1961);IIP/33;;;;;;;
;Berthen;Église Saint-Blaise;;;;Nord;Saint-Blaise [eglise];EDIFICE_STANDARD;59073;Berthen;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027846&LGE=FR&LIJST=lang;;;d;;González, Luis (1965);IIp/5;;;;;;;
;Bierne;Église Saint-Géry;;;;Nord;Saint-Géry [eglise];EDIFICE_STANDARD;59082;Bierne;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027847&LGE=FR&LIJST=lang;;;d;;Neuville & fils, Louis (1859);IIP/14;;;;;;;
;Blaringhem;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59084;Blaringhem;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027848&LGE=FR&LIJST=lang;;;d;;Heidenreich, Arnold (1877);IP/8;;;;;;;
;Boeschepe;Église Saint-Martin;;;;Nord;Saint-Martin [eglise];EDIFICE_STANDARD;59086;Boeschepe;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027849&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (19e eeuw);IIP/12;;;;;;;
;Boeschepe-l'Abéele;Église de la Immaculée Conception;;;;Nord;de la Immaculée Conception [eglise];EDIFICE_NON_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027886&LGE=FR&LIJST=lang;;;d;;Loncke, Frederick (1893);IIP/12;;;;;;;
;Boëseghem;Église Saint-Léger;;;;Nord;Saint-Léger [eglise];EDIFICE_STANDARD;59087;Boeseghem;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027887&LGE=FR&LIJST=lang;;;d;;Renard, Auguste (1835);I/9;;;;;;;
;Bollezeele;Église Saint-Wandrille;;;;Nord;Saint-Wandrille [eglise];EDIFICE_STANDARD;59089;Bollezeele;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027888&LGE=FR&LIJST=lang;;;d;;Belle, Jan Van (1679);IIP/18;;;;;;;
;Bondues;Église Saint-Vaast;;;;Nord;Saint-Vaast [eglise];EDIFICE_STANDARD;59090;Bondues;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2017727&LGE=FR&LIJST=lang;;;d;;Fossaert, Yves (2004);IIIP/25;;;;;;;
;Bondues;Pensionnat des Dames du Sacré-Coeur, Chapelle;;;;Nord;Pensionnat des Dames du Sacré-Coeur, Chapelle;EDIFICE_NON_STANDARD;59090;Bondues;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027889&LGE=FR&LIJST=lang;;;;;Roethinger, Etablissements E.-A. (1967);IIP/19;;;;;;;
;Borre;Église Saint-Jean-Baptiste;;;;Nord;Saint-Jean-Baptiste [eglise];EDIFICE_STANDARD;59091;Borre;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027890&LGE=FR&LIJST=lang;;;d;;Loncke, Pieter (1928);IIP/14;;;;;;;
;Bourbourg;Église Saint-Jean-Baptiste;;;;Nord;Saint-Jean-Baptiste [eglise];EDIFICE_STANDARD;59094;Bourbourg;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027891&LGE=FR&LIJST=lang;;;d;;Godefroy & Dubosc (1971);IIP/18;;;;;;;
;Bouvines;Eglise Saint-Pierre;;;;Nord;Saint-Pierre [eglise];EDIFICE_STANDARD;59106;Bouvines;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2059135&LGE=FR&LIJST=lang;;;dp;;Mutin-Cavaillé-Coll (1911);IIP/19;;;;;;;
;Brouckerque;Église Saint-Omer;;;;Nord;Saint-Omer [eglise];EDIFICE_STANDARD;59110;Brouckerque;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027892&LGE=FR&LIJST=lang;;;dp;;Facteur inconnu (18e eeuw);IIP/13;;;;;;;
;Broxeele;Église Saint-Quentin;;;;Nord;Saint-Quentin [eglise];EDIFICE_STANDARD;59111;Broxeele;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027893&LGE=FR&LIJST=lang;;;d;;Renard, Auguste (1840);IP/7;;;;;;;
;Buysscheure;Église Saint-Jean-Baptiste;;;;Nord;Saint-Jean-Baptiste [eglise];EDIFICE_STANDARD;59119;Buysscheure;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027894&LGE=FR&LIJST=lang;;;d;;Facteur inconnu (ca. 1835);IP/10;;;;;;;
;Caëstre;Église Notre-Dame-de-Grace;;;;Nord;Notre-Dame-De-Grace [eglise];EDIFICE_STANDARD;59120;Caestre;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027895&LGE=FR&LIJST=lang;;;d;;Peteghem, Pierre Charles (II) Van (1851);IIP/26;;;;;;;
;Cambrai;Cathédrale Notre-Dame-de-Grâce;;;;Nord;Notre-Dame-De-Grâce [cathedrale];EDIFICE_STANDARD;59122;Cambrai;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2001546&LGE=FR&LIJST=lang;;;dp;;Schyven & Cie., Pierre (1897);IIIP/49;;;;;;;
;Cambrai;Cathédrale Notre-Dame-de-Grâce, Orgue de Choeur;;;;Nord;Notre-Dame-De-Grâce, Orgue de Choeur [cathedrale];EDIFICE_STANDARD;59122;Cambrai;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2020072&LGE=FR&LIJST=lang;;;dp;;Convers, Auguste (1936);IIP/18;;;;;;;
;Cambrai;Église Saint-Géry;;;;Nord;Saint-Géry [eglise];EDIFICE_STANDARD;59122;Cambrai;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027850&LGE=FR&LIJST=lang;;;dp;;Merklin, Joseph (1866);IIIP/40;;;;;;;
;Cambrai;Église Saint-Louis;;;;Nord;Saint-Louis [eglise];EDIFICE_STANDARD;59122;Cambrai;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2051344&LGE=FR&LIJST=lang;;;d;;Mutin-Cavaillé-Coll (ca. 1900);IIP/15 (13);;;;;;;
;Cappellebrouck;Église Saint-Jacques-le-Majeur;;;;Nord;Saint-Jacques-Le-Majeur [eglise];EDIFICE_STANDARD;;;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027896&LGE=FR&LIJST=lang;;;d;;Godefroy & Dubosc (1963);IIP/7;;;;;;;
;Cassel;Église Notre-Dame;;;;Nord;Notre-Dame [eglise];EDIFICE_STANDARD;59135;Cassel;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027897&LGE=FR&LIJST=lang;;;dp;;Cogez, Bernard (2001);IIP/20;;;;;;;
;Caudry;Église Sainte-Maxellende;;;;Nord;Sainte-Maxellende [eglise];EDIFICE_STANDARD;59139;Caudry;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027898&LGE=FR&LIJST=lang;;;d;;Mutin, Charles (1913);IIP/12;;;;;;;
;Coudekerque Branche;Église Sacré-Coeur;;;;Nord;Sacré-Coeur [eglise];EDIFICE_NON_STANDARD;59155;Coudekerque-Branche;;;;;;;;;;;;;http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2027899&LGE=FR&LIJST=lang;;;d;;Delmotte, Edouard & Théophile (1891);IIP/18;;;;;;;
