department,""city"",""communitytype"",""name"",""latitude"",""longitude""
01,""AMBERIEU EN BUGEY"",""Groupement paroissial"",""Saint Jean-Marie Vianney (Eglise d'Ambérieu-Gare)"",45.95563380,5.34585298
01,""AMBERIEU EN BUGEY"",""Groupement paroissial"",""Saint Roch"",45.97378100,5.40541600
01,""AMBERIEU EN BUGEY"",""Groupement paroissial"",""Saint Symphorien (Eglise d'Ambérieu-Ville)"",45.95814400,5.35942800
01,""AMBERIEUX EN DOMBES"",""Groupement paroissial"",""Saint Maurice"",45.99740400,4.90259000
01,""AMBLEON"",""Groupement paroissial"",""Saint Désiré"",45.74953760,5.60138090
01,""AMBRONAY"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.00707678,5.36146327
01,""AMBUTRIX"",""Groupement paroissial"",""Saint Maurice"",45.93954000,5.34159400
01,""ANDERT ET CONDON"",""Groupement paroissial"",""Saint Théodule"",45.79371000,5.65413000
01,""ANGLEFORT"",""Paroisse"",""Eglise Saint-Martin"",45.91413680,5.80898910
01,""ANGLEFORT"","""",""Saint Martin"",45.91413680,5.80898910
01,""APREMONT"",""Groupement paroissial"",""Saint André"",46.20787379,5.65796256
01,""ARANC"",""Groupement paroissial"",""Notre Dame des Sept Douleurs (Eglise de Résinand)"",45.99342997,5.48575090
01,""ARANC"",""Groupement paroissial"",""Saint Paul"",46.00334480,5.50855970
01,""ARANDAS"",""Groupement paroissial"",""Saint Pierre"",45.89644065,5.48761659
01,""Arbent"",""Groupement paroissial"",""Saint Oyen (Chapelle de Marchon)"",46.27515260,5.67675720
01,""ARBENT"",""Groupement paroissial"",""Saint Laurent"",46.29555830,5.68274317
01,""ARBIGNIEU"",""Groupement paroissial"",""Chapelle de Peyzieu"",45.70890000,5.65649490
01,""ARBIGNIEU"",""Groupement paroissial"",""Saint Etienne"",45.72858116,5.65000888
01,""ARBIGNY"",""Groupement paroissial"",""Saint Pierre"",46.46966373,4.97018025
01,""ARGIS"",""Groupement paroissial"",""Saint Maurice"",45.93444469,5.49148514
01,""ARMIX"",""Groupement paroissial"",""Sainte Catherine"",45.84899800,5.58587600
01,""ARS SUR FORMANS"",""Paroisse"",""Carmel du Saint Curé d'Ars"",45.99535800,4.82192350
01,""ARS SUR FORMANS"",""Paroisse"",""Prieuré Marie Joseph (bénédictines)"",45.99225310,4.82379650
01,""ARS SUR FORMANS"",""Paroisse"",""Saint Sixte (Basilique)"",45.99247672,4.82278799
01,""ARS SUR FORMANS"",""Paroisse"",""Notre-Dame de la Miséricorde (Eglise souterraine)"",45.99185059,4.82366775
01,""ARTEMARE"",""Groupement paroissial"",""Saint Martin"",45.87510369,5.69221370
01,""ASNIERES SUR SAONE"",""Groupement paroissial"",""Saint Martin"",46.38317220,4.88291840
01,""ATTIGNAT"",""Groupement paroissial"",""Saint Loup"",46.28988291,5.16373147
01,""BAGE LA VILLE"",""Groupement paroissial"",""Saint Michel"",46.31599411,4.94607652
01,""BAGE LE CHATEL"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.30780890,4.92841000
01,""BALAN"",""Groupement paroissial"",""Saint Jean-Baptiste"",45.83340291,5.09789923
01,""BANEINS"",""Groupement paroissial"",""Saint Martin"",46.11062524,4.90324977
01,""BEAUPONT"",""Groupement paroissial"",""Saint Antoine"",46.41133702,5.26476177
01,""BEAUREGARD"",""Groupement paroissial"",""Saint François d'Assise"",46.00067150,4.75208280
01,""BELIGNEUX"",""Groupement paroissial"",""Saint Pierre"",45.86717870,5.12853669
01,""BELLEGARDE SUR VALSERINE"",""Groupement paroissial"",""Notre-Dame de l'Assomption (Notre-Dame)"",46.10787850,5.82750640
01,""ARLOD - BELLEGARDE SUR VALSERINE"",""Groupement paroissial"",""Saint Nicolas"",46.09332680,5.82090050
01,""BELLEGARDE SUR VALSERINE"",""Groupement paroissial"",""Saint Vincent (Eglise de Musinens)"",46.11366927,5.82153916
01,""BELLEGARDE-SUR-VALSERINE"",""Groupement paroissial"",""Notre-Dame d'Accout"",0.00000000,0.00000000
01,""VANCHY - BELLEGARDE SUR VALSERINE"",""Groupement paroissial"",""Saint Claude"",46.09733900,5.85070010
01,""VILLES"",""Groupement paroissial"",""Saint Nicolas"",46.08922041,5.78543152
01,""VOUVRAY - CHATILLON EN MICHAILLE"",""Groupement paroissial"",""Saint Paul"",46.11394300,5.78034600
01,""BELLEY"",""Groupement paroissial"",""Saint Jean-Baptiste (Cathédrale de Belley)"",45.75764843,5.68887345
01,""Belley"",""Groupement paroissial"",""Saint Pierre Chanel (Chapelle de Bon Repos / Chapelle des sœurs maristes)"",45.75583250,5.68930980
01,""BELLEY"",""Groupement paroissial"",""Oratoire Saint-Joseph (Oratoire du prebytère)"",45.75687290,5.68822940
01,""BELLEYDOUX"",""Groupement paroissial"",""Saint Sébastien"",46.25255048,5.77805846
01,""BELLEYDOUX"",""Groupement paroissial"",""Sainte-Anne (Chapelle de Belleydoux)"",0.00000000,0.00000000
01,""BELLIGNAT"",""Groupement paroissial"",""Saint Christophe"",46.24171660,5.62807350
01,""BELMONT LUTHEZIEU"",""Groupement paroissial"",""Saint Antoine (Eglise de Luthezieu)"",45.90388100,5.66196400
01,""BELMONT LUTHEZIEU"",""Groupement paroissial"",""Saint Oyen (Eglise de Belmont)"",45.88333300,5.65000000
01,""BENONCES"","""",""Chartreuse de Portes (chartreux)"",45.82782330,5.47833820
01,""BENONCES"",""Groupement paroissial"",""Saint Pierre"",45.82795974,5.47820141
01,""BENY"",""Groupement paroissial"",""Saint Vincent"",46.31777560,5.28395480
01,""BEON"",""Groupement paroissial"",""Saint Laurent"",45.85374040,5.75607020
01,""BEREZIAT"",""Groupement paroissial"",""Saint Georges"",46.36815595,5.04598684
01,""BETTANT"",""Groupement paroissial"",""Notre Dame des Neiges"",45.94307200,5.36326507
01,""BEY"",""Groupement paroissial"",""Saint Martin"",46.21135332,4.84848692
01,""BEYNOST"",""Groupement paroissial"",""Saint Julien"",45.83967920,5.00096415
01,""Billiat"",""Groupement paroissial"",""Saint Pierre"",46.07761280,5.78434330
01,""Birieux"",""Groupement paroissial"",""Saint Pierre"",45.95297714,5.03869842
01,""BIZIAT"",""Groupement paroissial"",""Saint Clair"",46.21662770,4.94365630
01,""BLYES"",""Groupement paroissial"",""Saint Roch"",45.84923252,5.24796259
01,""BOHAS MEYRIAT RIGNAT"",""Groupement paroissial"",""Saint Didier (Saint-Didier de Rignat)"",46.14223000,5.35706200
01,""BOHAS-MEYRIAT-RIGNAT"",""Groupement paroissial"",""Saint Etienne (Saint-Etienne de Meyriat)"",46.13664717,5.39046443
01,""BOHAS-MEYRIAT-RIGNAT"",""Groupement paroissial"",""Saint Martin (Saint-Martin de Bohas)"",46.15904000,5.38854300
01,""BOISSEY"",""Groupement paroissial"",""Saints Gervais et Protais"",46.38130880,4.99615000
01,""BOLOZON"",""Groupement paroissial"",""Saint Etienne"",46.19237129,5.47363117
01,""BOULIGNEUX"",""Groupement paroissial"",""Saint Marcel"",46.02241100,4.99062567
01,""BOURG EN BRESSE"",""Paroisse"",""Chapelle Saint Antoine (Ancienne chapelle des Capucins)"",46.20346460,5.21476820
01,""BOURG EN BRESSE"",""Paroisse"",""Chapelle des Dominicaines"",46.20247260,5.22552630
01,""BOURG EN BRESSE"",""Paroisse"",""Chapelle des Vennes"",46.18946040,5.23155070
01,""BOURG EN BRESSE"",""Paroisse"",""Chapelle du Peloux"",46.19438380,5.20978020
01,""Bourg-en-Bresse"",""Paroisse"",""Chapelle Saint-François"",46.19889402,5.22115383
01,""BOURG EN BRESSE"",""Paroisse"",""Notre-Dame"",46.20586860,5.22665420
01,""BOURG EN BRESSE"",""Paroisse"",""Sacré-Coeur"",46.19853622,5.22164521
01,""BOURG EN BRESSE"",""Groupement paroissial"",""Saint Pierre Chanel"",46.21210620,5.23500070
01,""BOURG SAINT CHRISTOPHE"",""Groupement paroissial"",""Saint Christophe"",45.89316609,5.16432306
01,""BOYEUX SAINT JEROME"",""Groupement paroissial"",""Saint Bonnet"",46.03933049,5.44509899
01,""BOYEUX SAINT JEROME"",""Groupement paroissial"",""Saint Jérôme"",46.01904212,5.45894596
01,""BOZ"",""Groupement paroissial"",""Saint Sébastien"",46.40656290,4.91245530
