Codification_instrument	Commune	Edifice	Edifice_standard	Info_edifice	Codification_edifice	Nom_departement	Code_depertament	Nom_region	Code_insee	Commune_insee	Ancienne_commune	Adresse	Denomination	Livre	Pages_pdf	Pages_livre	Pages_livre_complement	Commentaire	Log	Site_ref	Latitude	Longitude	Orgbase_manu	Orgbase_commune	Orgbase_auto	Orgbase_desc	Orgbase_edifice	Orgbase_facteurs	Orgbase_minicompo	Orgbase_edifice_standard	Orgbase_edifice_log	Orgbase_commune_insee	Reference_palissy	denomination_palissy	Edifce_palissy	protection_palissy
	Charleville-Mézières	Basilique Notre-Dame-de-l'Esperance	notre-dame-de-l'Esperance [basilique]	EDIFICE_NON_STANDARD		Ardennes			08105	Charleville-Mezieres			G.O.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2016771&LGE=FR&LIJST=lang				dp	Koenig, Yves (1997)	IIIP/40							
	Charleville-Mézières	Basilique Notre-Dame-de-l'Esperance	notre-dame-de-l'Esperance, Orgue de Choeur [basilique]	EDIFICE_NON_STANDARD		Ardennes			08105	Charleville-Mezieres			O.C.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2025695&LGE=FR&LIJST=lang					Cavaillé-Coll, Aristide	 							
	Charleville-Mézières	Basilique Notre-Dame-de-l'Esperance	notre-dame-de-l'Esperance, Orgue de Choeur [basilique]	EDIFICE_NON_STANDARD		Ardennes			08105	Charleville-Mezieres			O.C.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033001&LGE=FR&LIJST=lang				dp	Decavèle, Daniel (1996)	IIP/6							
	Charleville-Mézières	Église Saint-Rémi	Saint-Rémi [eglise]	EDIFICE_STANDARD		Ardennes			08105	Charleville-Mezieres			G.O.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033002&LGE=FR&LIJST=lang				dp	Schyven & Cie., Pierre (1877)	IIIP/40							
	Charleville-Mézières	Église Saint-Rémi	Saint-Rémi, Orgue de Choeur [eglise]	EDIFICE_STANDARD		Ardennes			08105	Charleville-Mezieres			O.C.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2033003&LGE=FR&LIJST=lang				dp	Cavaillé-Coll, Aristide (1863)	IIp/10							
	Donchery	Église Saint-Onésime	Saint-Onésime [eglise]	EDIFICE_STANDARD		Ardennes			08142	Donchery													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2025696&LGE=FR&LIJST=lang					Facteur inconnu (18e eeuw)	 							
	Ecordal	Église Saint-Rémi	Saint-Rémi [eglise]	EDIFICE_STANDARD		Ardennes			08151	Ecordal													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2055344&LGE=FR&LIJST=lang				d	Déjardin, Émile (1861)	I/8							
	Floing	Église Saint-Rémy	Saint-Rémy [eglise]	EDIFICE_STANDARD		Ardennes			08174	Floing													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2025697&LGE=FR&LIJST=lang				d	Saby, Pierre (1990)	IIP/19 (18)							
	Fumay	Église Saint-Georges	Saint-Georges [eglise]	EDIFICE_STANDARD		Ardennes			08185	Fumay													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2025698&LGE=FR&LIJST=lang				d	Kernts, Michel (1782)	IIIP/23							
	Gespunsart	Église Saint-Rémi	Saint-Rémi [eglise]	EDIFICE_STANDARD		Ardennes			08188	Gespunsart			G.O.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2025699&LGE=FR&LIJST=lang				d	Facteur inconnu (ca. 1780)	IIp/18							
	Gespunsart	Église Saint-Rémi	Saint-Rémi, Orgue de Choeur [eglise]	EDIFICE_STANDARD		Ardennes			08188	Gespunsart			O.C.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2054306&LGE=FR&LIJST=lang				d	Facteur inconnu (1752)	I/6							
	Givet	Église Notre-Dame	Notre-Dame [eglise]	EDIFICE_STANDARD		Ardennes			08190	Givet													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2011686&LGE=FR&LIJST=lang				d	Cavaillé-Coll, Aristide (1868)	IIP/12							
	Givet	Église Saint-Hilaire	Saint-Hilaire [eglise]	EDIFICE_STANDARD		Ardennes			08190	Givet													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2031398&LGE=FR&LIJST=lang				p		 							
	Haybes	Église Saint-Pierre et Saint-Paul	Saint-Pierre Et Saint-Paul [eglise]	EDIFICE_STANDARD		Ardennes			08222	Haybes													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2046745&LGE=FR&LIJST=lang				p		 							
	Monthermé	Église Abbatiale Saint-Rémy (Abbaye de Laval-Dieu)	Saint-Rémy (abbaye de Laval-Dieu) [eglise Abbatiale]	EDIFICE_STANDARD		Ardennes			08302	Montherme													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2025701&LGE=FR&LIJST=lang				d	Facteur inconnu (1771)	IIP/10							
	Les Hautes-Rivières	Église Paroissiale	[eglise Paroissiale]	EDIFICE_NON_STANDARD		Ardennes			08218	Les Hautes-Rivieres													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2025700&LGE=FR&LIJST=lang					Renaud, Jean (1983)	 							
	Monthermé	Église Saint-Antoine-des-Hauts-Buttés	Saint-Antoine-Des-Hauts-Buttés [eglise]	EDIFICE_STANDARD		Ardennes			08302	Montherme													http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2055345&LGE=FR&LIJST=lang				d	Facteur inconnu (1756)	Ip/8							
	Mouzon	Église Abbatiale Notre-Dame	Notre-Dame [eglise Abbatiale]	EDIFICE_STANDARD		Ardennes			08311	Mouzon			G.O.										http://www.orgbase.nl/scripts/ogb.exe?database=ob2&%250=2010360&LGE=FR&LIJST=lang				dp	Formentelli, Bartoloméo (1991)	IVP/44							
